               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  82,            0.032722,            0.040875,           0.0061411,             0.87484,             0.90946,             0.94509,             0.70284,            0.027592,            0.023075,           0.0021409,            0.001981,            0.001981,            0.001981
                  83,            0.031514,            0.043234,           0.0055352,              0.8806,             0.91213,              0.9488,              0.6998,             0.02764,            0.023091,           0.0021246,            0.001882,            0.001882,            0.001882
                  84,            0.031122,            0.041707,           0.0057018,              0.8921,             0.90404,             0.94759,             0.71231,            0.026982,            0.022947,           0.0021229,            0.001783,            0.001783,            0.001783
                  85,             0.03178,            0.039867,           0.0058356,             0.89279,             0.90879,              0.9474,             0.71527,            0.026977,            0.022914,           0.0021182,            0.001684,            0.001684,            0.001684
                  86,            0.033063,            0.039546,           0.0061705,             0.89945,             0.90131,             0.94549,             0.71527,            0.026871,            0.022953,           0.0021337,            0.001585,            0.001585,            0.001585
                  87,            0.031203,            0.042701,           0.0056147,              0.8894,             0.90817,              0.9472,             0.72301,            0.026492,            0.022712,           0.0021207,            0.001486,            0.001486,            0.001486
                  88,             0.03351,            0.044537,           0.0059945,             0.90537,             0.89484,             0.94774,             0.72542,            0.026693,            0.022841,           0.0021249,            0.001387,            0.001387,            0.001387
                  89,            0.032659,            0.042165,           0.0051563,             0.89389,             0.89582,             0.94338,             0.71916,            0.026173,            0.022723,           0.0021118,            0.001288,            0.001288,            0.001288
                  90,            0.031888,            0.037741,           0.0055396,             0.89331,             0.90442,             0.94767,             0.72153,            0.026294,            0.022688,           0.0021041,            0.001189,            0.001189,            0.001189
                  91,            0.031178,            0.040266,           0.0061464,             0.90004,             0.90183,             0.94725,             0.72259,            0.026186,            0.022653,           0.0021064,             0.00109,             0.00109,             0.00109
                  92,            0.032789,            0.041143,           0.0051968,             0.88562,             0.91311,             0.94583,              0.7219,            0.026069,            0.022653,           0.0020867,            0.000991,            0.000991,            0.000991
                  93,             0.03166,            0.039025,           0.0055619,             0.90199,             0.90936,                0.95,             0.71931,            0.025888,            0.022547,            0.002086,            0.000892,            0.000892,            0.000892
                  94,             0.03082,            0.035394,           0.0057186,             0.89502,             0.91029,             0.94805,             0.71765,            0.025979,            0.022457,           0.0020957,            0.000793,            0.000793,            0.000793
                  95,            0.030446,            0.035609,           0.0056936,              0.8887,             0.91031,             0.94581,             0.71929,            0.025873,            0.022322,           0.0020714,            0.000694,            0.000694,            0.000694
                  96,            0.029651,             0.03744,           0.0056435,             0.88184,             0.91608,             0.94617,             0.72483,            0.025653,            0.022159,           0.0020665,            0.000595,            0.000595,            0.000595
                  97,            0.031766,             0.04035,           0.0057134,             0.88088,              0.9204,              0.9483,             0.73212,            0.025466,            0.022149,           0.0020549,            0.000496,            0.000496,            0.000496
                  98,            0.030527,            0.036279,           0.0049253,             0.88472,              0.9199,             0.95124,             0.73109,            0.025375,            0.022029,           0.0020605,            0.000397,            0.000397,            0.000397
                  99,            0.031205,            0.040348,           0.0054584,             0.88697,             0.92182,             0.95142,             0.73703,            0.025359,             0.02202,           0.0020601,            0.000298,            0.000298,            0.000298
