               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  55,            0.036511,            0.025967,           0.0017522,              0.8884,              0.7709,             0.86334,             0.52955,            0.033818,            0.037534,           0.0015732,            0.004654,            0.004654,            0.004654
                  56,            0.036049,            0.026095,           0.0017325,              0.8778,             0.77876,              0.8656,             0.52569,            0.033819,            0.037627,           0.0015714,            0.004555,            0.004555,            0.004555
                  57,            0.036289,            0.025831,           0.0017508,             0.90038,             0.77541,             0.86921,             0.53294,            0.033592,            0.037036,           0.0015676,            0.004456,            0.004456,            0.004456
                  58,            0.036119,            0.026029,           0.0015701,             0.89428,             0.78021,             0.86553,             0.53757,            0.033544,            0.036961,           0.0015529,            0.004357,            0.004357,            0.004357
                  59,            0.036171,            0.025637,           0.0016916,             0.89809,             0.78802,             0.87252,             0.53502,             0.03333,            0.036907,           0.0015072,            0.004258,            0.004258,            0.004258
                  60,            0.035685,            0.025467,           0.0016725,               0.891,             0.77929,             0.86572,             0.53665,            0.033267,            0.036967,           0.0014965,            0.004159,            0.004159,            0.004159
                  61,            0.035682,            0.025228,           0.0016718,             0.89229,             0.77349,             0.87145,             0.54227,            0.033183,            0.036688,           0.0014888,             0.00406,             0.00406,             0.00406
                  62,            0.035641,            0.025393,           0.0016413,             0.89622,             0.79218,             0.87552,             0.54297,            0.033074,            0.036419,           0.0014474,            0.003961,            0.003961,            0.003961
                  63,            0.035091,            0.025013,           0.0015766,             0.90155,             0.79677,             0.87499,             0.54829,              0.0329,            0.036297,            0.001474,            0.003862,            0.003862,            0.003862
                  64,            0.035357,            0.025154,           0.0015886,             0.88941,             0.80586,             0.87487,             0.54621,            0.032988,            0.036555,           0.0014819,            0.003763,            0.003763,            0.003763
                  65,            0.035291,            0.025189,           0.0015534,             0.91058,              0.7816,             0.87252,             0.54486,            0.032895,            0.036608,           0.0015296,            0.003664,            0.003664,            0.003664
                  66,            0.035226,            0.024907,           0.0016534,             0.89913,             0.80032,             0.87825,             0.54824,            0.032865,            0.036443,           0.0014297,            0.003565,            0.003565,            0.003565
                  67,            0.034771,            0.024928,           0.0015175,             0.90278,             0.79179,             0.87423,             0.54835,            0.032825,            0.036384,           0.0013898,            0.003466,            0.003466,            0.003466
                  68,            0.035025,            0.024934,           0.0015226,              0.9163,             0.78427,             0.87897,             0.55131,            0.032725,            0.036221,           0.0014121,            0.003367,            0.003367,            0.003367
                  69,             0.03443,            0.024625,           0.0014768,             0.91093,             0.78636,             0.87857,             0.55143,            0.032693,            0.036142,           0.0014175,            0.003268,            0.003268,            0.003268
                  70,            0.034484,            0.024713,           0.0014897,             0.91603,             0.79078,             0.88023,             0.55441,            0.032574,               0.036,           0.0014298,            0.003169,            0.003169,            0.003169
                  71,             0.03479,            0.024428,           0.0015051,             0.90029,             0.80263,              0.8795,             0.55651,             0.03249,            0.036032,           0.0013942,             0.00307,             0.00307,             0.00307
                  72,             0.03427,            0.024171,           0.0014851,             0.89346,             0.79916,             0.87955,             0.55786,            0.032501,            0.035985,           0.0013883,            0.002971,            0.002971,            0.002971
                  73,            0.034362,             0.02433,           0.0014398,             0.91218,             0.79247,             0.88355,             0.55616,             0.03238,            0.035827,           0.0013859,            0.002872,            0.002872,            0.002872
                  74,             0.03411,            0.023917,           0.0014153,             0.90597,             0.80283,             0.88233,                0.56,            0.032322,            0.035855,            0.001375,            0.002773,            0.002773,            0.002773
                  75,            0.034021,            0.024138,           0.0014944,             0.90137,             0.80141,             0.87972,             0.55899,            0.032197,            0.035707,           0.0013641,            0.002674,            0.002674,            0.002674
                  76,            0.033624,            0.023797,           0.0013924,             0.91309,             0.79523,              0.8791,             0.56109,            0.032159,            0.035689,           0.0014124,            0.002575,            0.002575,            0.002575
                  77,            0.034111,            0.024331,           0.0014624,             0.89829,             0.79783,             0.87984,             0.55861,             0.03212,            0.035637,           0.0014167,            0.002476,            0.002476,            0.002476
